File;Program;Number of CPUs;Average Time in Seconds;Average CPU Usage in Percentage;Average Minor Pagefaults;(absolute) speedup;(absolute) efficiency
graphs/01-original.graph;seq;1;0.0000032;0.0000000;232.0000000;1.0000000;1.0000000
graphs/01-original.graph;pal;1;0.0000191;0.0000000;233.0000000;0.1689895;0.1689895
graphs/01-original.graph;pal;2;0.0004809;0.0000000;239.0000000;0.0067240;0.0033620
graphs/01-original.graph;pal;4;0.0009538;0.0000000;244.3333333;0.0033899;0.0008475
graphs/01-original.graph;pal;8;0.0023218;235.3333333;253.6666667;0.0013926;0.0001741
graphs/01-original.graph;pal;16;0.0060390;79.3333333;272.3333333;0.0005354;0.0000335
graphs/01-original.graph;pal;32;0.0253672;211.0000000;310.6666667;0.0001275;0.0000040
graphs/02-20-nodes-fraction-65.graph;seq;1;166.1855079;100.0000000;242.0000000;1.0000000;1.0000000
graphs/02-20-nodes-fraction-65.graph;pal;1;218.4370119;100.0000000;244.3333333;0.7607937;0.7607937
graphs/02-20-nodes-fraction-65.graph;pal;2;135.1043910;192.6666667;259.0000000;1.2300526;0.6150263
graphs/02-20-nodes-fraction-65.graph;pal;4;56.5702309;309.6666667;282.0000000;2.9376848;0.7344212
graphs/02-20-nodes-fraction-65.graph;pal;8;45.2525747;470.0000000;326.0000000;3.6723989;0.4590499
graphs/02-20-nodes-fraction-65.graph;pal;16;43.2894232;588.6666667;413.3333333;3.8389402;0.2399338
graphs/02-20-nodes-fraction-65.graph;pal;32;43.3168586;661.3333333;588.3333333;3.8365088;0.1198909
graphs/03-20-nodes-fraction-80.graph;seq;1;178.3806235;100.0000000;242.6666667;1.0000000;1.0000000
graphs/03-20-nodes-fraction-80.graph;pal;1;435.1157402;100.0000000;244.3333333;0.4099613;0.4099613
graphs/03-20-nodes-fraction-80.graph;pal;2;282.0129004;179.0000000;259.0000000;0.6325265;0.3162632
graphs/03-20-nodes-fraction-80.graph;pal;4;171.9851568;300.0000000;281.3333333;1.0371862;0.2592965
graphs/03-20-nodes-fraction-80.graph;pal;8;112.8027547;456.6666667;325.3333333;1.5813499;0.1976687
graphs/03-20-nodes-fraction-80.graph;pal;16;83.9974693;663.0000000;412.0000000;2.1236428;0.1327277
graphs/03-20-nodes-fraction-80.graph;pal;32;84.1022215;704.0000000;587.3333333;2.1209978;0.0662812
graphs/04-20-nodes-fraction-89.graph;seq;1;187.1820768;100.0000000;242.0000000;1.0000000;1.0000000
graphs/04-20-nodes-fraction-89.graph;pal;1;311.2559995;100.0000000;244.0000000;0.6013766;0.6013766
graphs/04-20-nodes-fraction-89.graph;pal;2;248.9006297;199.0000000;258.6666667;0.7520354;0.3760177
graphs/04-20-nodes-fraction-89.graph;pal;4;104.3799758;367.0000000;281.6666667;1.7932757;0.4483189
graphs/04-20-nodes-fraction-89.graph;pal;8;55.8597598;616.3333333;327.3333333;3.3509288;0.4188661
graphs/04-20-nodes-fraction-89.graph;pal;16;39.7008807;1035.6666667;413.3333333;4.7148092;0.2946756
graphs/04-20-nodes-fraction-89.graph;pal;32;50.0833109;1015.3333333;588.3333333;3.7374142;0.1167942
graphs/05-25-nodes-fraction-35.graph;seq;1;538.1995901;100.0000000;249.0000000;1.0000000;1.0000000
graphs/05-25-nodes-fraction-35.graph;pal;1;1150.0883560;100.0000000;252.0000000;0.4679637;0.4679637
graphs/05-25-nodes-fraction-35.graph;pal;2;705.2926467;197.0000000;274.3333333;0.7630869;0.3815435
graphs/05-25-nodes-fraction-35.graph;pal;4;279.4873359;351.6666667;311.6666667;1.9256672;0.4814168
graphs/05-25-nodes-fraction-35.graph;pal;8;395.0679329;311.0000000;385.0000000;1.3622963;0.1702870
graphs/05-25-nodes-fraction-35.graph;pal;16;229.2691647;556.3333333;532.0000000;2.3474574;0.1467161
graphs/05-25-nodes-fraction-35.graph;pal;32;345.9804361;416.3333333;826.6666667;1.5555781;0.0486118
graphs/06-18-nodes-fraction-100.graph;seq;1;83.4159419;99.6666667;240.3333333;1.0000000;1.0000000
graphs/06-18-nodes-fraction-100.graph;pal;1;131.1170316;100.0000000;241.3333333;0.6361946;0.6361946
graphs/06-18-nodes-fraction-100.graph;pal;2;60.6762542;194.0000000;253.6666667;1.3747708;0.6873854
graphs/06-18-nodes-fraction-100.graph;pal;4;39.5198560;340.6666667;272.3333333;2.1107350;0.5276837
graphs/06-18-nodes-fraction-100.graph;pal;8;24.6712256;603.3333333;308.0000000;3.3811025;0.4226378
graphs/06-18-nodes-fraction-100.graph;pal;16;16.7705373;842.3333333;375.6666667;4.9739576;0.3108724
graphs/06-18-nodes-fraction-100.graph;pal;32;16.8931515;958.6666667;513.3333333;4.9378556;0.1543080
graphs/07-18-nodes-fraction-100.graph;seq;1;41.0018659;99.0000000;240.0000000;1.0000000;1.0000000
graphs/07-18-nodes-fraction-100.graph;pal;1;22.5928643;99.0000000;241.3333333;1.8148149;1.8148149
graphs/07-18-nodes-fraction-100.graph;pal;2;15.3476561;198.0000000;253.0000000;2.6715393;1.3357696
graphs/07-18-nodes-fraction-100.graph;pal;4;9.2344640;364.0000000;271.6666667;4.4400916;1.1100229
graphs/07-18-nodes-fraction-100.graph;pal;8;9.3205062;526.3333333;307.3333333;4.3991029;0.5498879
graphs/07-18-nodes-fraction-100.graph;pal;16;7.2629497;1026.6666667;376.3333333;5.6453463;0.3528341
graphs/07-18-nodes-fraction-100.graph;pal;32;6.0995123;1585.6666667;512.6666667;6.7221548;0.2100673
graphs/08-18-nodes-fraction-90.graph;seq;1;31.3430599;99.0000000;240.0000000;1.0000000;1.0000000
graphs/08-18-nodes-fraction-90.graph;pal;1;40.5399169;99.6666667;241.0000000;0.7731407;0.7731407
graphs/08-18-nodes-fraction-90.graph;pal;2;23.5639123;199.0000000;254.0000000;1.3301297;0.6650649
graphs/08-18-nodes-fraction-90.graph;pal;4;17.4649019;375.6666667;271.6666667;1.7946313;0.4486578
graphs/08-18-nodes-fraction-90.graph;pal;8;8.8911338;595.3333333;306.3333333;3.5252040;0.4406505
graphs/08-18-nodes-fraction-90.graph;pal;16;8.9769123;808.3333333;375.3333333;3.4915190;0.2182199
graphs/08-18-nodes-fraction-90.graph;pal;32;9.0808276;964.0000000;512.6666667;3.4515642;0.1078614
